source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[medium]	characteristics[medium supplements]	characteristics[temperature]	characteristics[growth phase]	characteristics[optical density]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[file uri]	comment[sdrf version]	comment[sdrf template]
ATCC_KO5	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	5	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 11	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_05.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_05.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
ATCC_KO6	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	6	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 12	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_06.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_06.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL10_1	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	1	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_01.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_01.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL10_2	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	2	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_02.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_02.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL10_3	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	3	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_03.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_03.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL10_4	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	4	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_04.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_04.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL10_5	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	5	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 17	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_05.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_05.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL10_6	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	6	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 18	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_06.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_06.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL10_KO_1	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	1	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 19	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_01.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_01.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL10_KO_2	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	2	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 20	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_02.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_02.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL10_KO_3	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	3	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 21	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_03.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_03.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL10_KO_4	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	4	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 22	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_04.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_04.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL10_KO_5	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	5	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 23	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_05.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_05.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL10_KO_6	Escherichia coli	Cell lysate	Escherichia coli ST93	Not applicable	Prokaryotic cell	Ciprofloxacin	6	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 24	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_06.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI10_recA_KO_06.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL4_1	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	1	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 25	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_01.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_01.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL4_2	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	2	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 26	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_02.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_02.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL4_3	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	3	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 27	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_03.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_03.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL4_4	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	4	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 28	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_04.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_04.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL4_5	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	5	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 29	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_05.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_05.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL4_6	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	6	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 30	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_06.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_06.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL4_KO_1	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	1	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 31	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_01.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_01.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
FL4_KO_2	Escherichia coli	Cell lysate	Escherichia coli ST73	Not applicable	Prokaryotic cell	Ciprofloxacin	2	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 32	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_02.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_FI14_recA_KO_02.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
