source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	material type	assay name	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[dissociation method]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	factor value[treatment]
Sample 6	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	control condition	6	cell line	run 11	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_Control_BR6_TR2.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_Control_BR6_TR2.raw	control condition
Sample 7	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	heat shock	1	cell line	run 12	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_HEAT_BR1_TR1.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_HEAT_BR1_TR1.raw	heat shock
Sample 7	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	heat shock	1	cell line	run 13	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_HEAT_BR1_TR2.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_HEAT_BR1_TR2.raw	heat shock
Sample 8	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	heat shock	2	cell line	run 14	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_HEAT_BR2_TR1.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_HEAT_BR2_TR1.raw	heat shock
Sample 8	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	heat shock	2	cell line	run 15	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_HEAT_BR2_TR2.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_HEAT_BR2_TR2.raw	heat shock
Sample 9	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	heat shock	3	cell line	run 16	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_HEAT_BR3_TR1.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_HEAT_BR3_TR1.raw	heat shock
Sample 9	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	heat shock	3	cell line	run 17	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_HEAT_BR3_TR2.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_HEAT_BR3_TR2.raw	heat shock
Sample 10	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	proteasome inhibitor MG-132	1	cell line	run 18	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_MG132_BR1_TR1.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_MG132_BR1_TR1.raw	proteasome inhibitor MG-132
Sample 10	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	proteasome inhibitor MG-133	1	cell line	run 19	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_MG132_BR1_TR2.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_MG132_BR1_TR2.raw	proteasome inhibitor MG-133
Sample 11	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	proteasome inhibitor MG-134	2	cell line	run 20	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_MG132_BR2_TR1.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_MG132_BR2_TR1.raw	proteasome inhibitor MG-134
Sample 11	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	proteasome inhibitor MG-135	2	cell line	run 21	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_MG132_BR2_TR2.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_MG132_BR2_TR2.raw	proteasome inhibitor MG-135
Sample 12	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	proteasome inhibitor MG-136	3	cell line	run 22	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_MG132_BR3_TR1.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_MG132_BR3_TR1.raw	proteasome inhibitor MG-136
Sample 12	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	proteasome inhibitor MG-137	3	cell line	run 23	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_MG132_BR3_TR2.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_MG132_BR3_TR2.raw	proteasome inhibitor MG-137
Sample 13	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	proteasome inhibitor PR-619	1	cell line	run 24	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_PR619_BR1_TR1.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_PR619_BR1_TR1.raw	proteasome inhibitor PR-619
Sample 13	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	proteasome inhibitor PR-620	1	cell line	run 25	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_PR619_BR1_TR2.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_PR619_BR1_TR2.raw	proteasome inhibitor PR-620
Sample 14	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	proteasome inhibitor PR-621	2	cell line	run 26	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_PR619_BR2_TR1.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_PR619_BR2_TR1.raw	proteasome inhibitor PR-621
