source Name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[individual]	assay name	comment[label]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	Material Type
Sample 1	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 11	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR11.raw	11	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR11.raw	tissue
Sample 1	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 12	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR12.raw	12	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR12.raw	tissue
Sample 1	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 13	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR13.raw	13	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR13.raw	tissue
Sample 1	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 14	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR14.raw	14	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR14.raw	tissue
Sample 1	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 15	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR15.raw	15	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR15.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 16	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR01.raw	1	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR01.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 17	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR02.raw	2	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR02.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 18	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR03.raw	3	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR03.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 19	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR04.raw	4	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR04.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 20	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR05.raw	5	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR05.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 21	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR06.raw	6	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR06.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 22	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR07.raw	7	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR07.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 23	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR08.raw	8	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR08.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 24	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR09.raw	9	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR09.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 25	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR10.raw	10	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR10.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 26	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR11.raw	11	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR11.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 27	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR12.raw	12	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR12.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 28	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR13.raw	13	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR13.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 29	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR14.raw	14	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR14.raw	tissue
Sample 2	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 30	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR15.raw	15	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR15.raw	tissue
Sample 3	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 31	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR01.raw	1	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR01.raw	tissue
Sample 3	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 32	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR02.raw	2	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR02.raw	tissue
Sample 3	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 33	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR03.raw	3	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR03.raw	tissue
Sample 3	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 34	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR04.raw	4	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR04.raw	tissue
Sample 3	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 35	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR05.raw	5	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR05.raw	tissue
Sample 3	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 36	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR06.raw	6	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR06.raw	tissue
Sample 3	Homo sapiens	colon	rectum	not available	not available	colon and rectal tumors	not available	not available	run 37	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR07.raw	7	NM=LTQ Orbitrap Velos;AC=MS:1001742	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NM=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NM=Gln->pyro-Glu;MT=Variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NE=Trypsin	not available	10 ppm	TCGA-AG-A011-01A-32_W_VU_20120828_A0218_2I_R_FR07.raw	tissue
