source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[developmental stage]	characteristics[cell type]	characteristics[individual]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[file uri]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR11.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	11	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR11.raw
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR12.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	12	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR12.raw
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR13.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	13	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR13.raw
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR14.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	14	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR14.raw
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR15.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	15	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR15.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR01.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	1	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR01.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR02.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	2	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR02.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR03.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	3	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR03.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR04.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	4	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR04.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR05.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	5	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121016_A0218_4G_R_FR05.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR06.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	6	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR06.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR07.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	7	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR07.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR08.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	8	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR08.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR09.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	9	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR09.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR10.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	10	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR10.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR11.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	11	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR11.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR12.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	12	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR12.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR13.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	13	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR13.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR14.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	14	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR14.raw
Sample 2	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR15.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	15	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00Y-01A-12_W_VU_20121017_A0218_4G_R_FR15.raw
