source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[disease]	characteristics[individual]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]
Sample 2	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	5	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141025_liver_12299_B_05.raw	20141025_liver_12299_B_05.raw
Sample 2	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	6	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141025_liver_12299_B_06.raw	20141025_liver_12299_B_06.raw
Sample 3	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	1	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141028_liver_12281_A_01.raw	20141028_liver_12281_A_01.raw
Sample 3	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	2	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141028_liver_12281_A_02.raw	20141028_liver_12281_A_02.raw
Sample 3	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	3	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141028_liver_12281_A_03.raw	20141028_liver_12281_A_03.raw
Sample 3	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	4	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141028_liver_12281_A_04.raw	20141028_liver_12281_A_04.raw
Sample 3	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	5	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141028_liver_12281_A_05.raw	20141028_liver_12281_A_05.raw
Sample 3	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	6	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141028_liver_12281_A_06.raw	20141028_liver_12281_A_06.raw
Sample 4	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	1	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141028_liver_12281_B_01.raw	20141028_liver_12281_B_01.raw
Sample 4	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	2	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141028_liver_12281_B_02.raw	20141028_liver_12281_B_02.raw
Sample 4	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	3	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141028_liver_12281_B_03.raw	20141028_liver_12281_B_03.raw
Sample 4	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	4	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141028_liver_12281_B_04.raw	20141028_liver_12281_B_04.raw
Sample 4	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	5	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141028_liver_12281_B_05.raw	20141028_liver_12281_B_05.raw
Sample 4	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	6	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141028_liver_12281_B_06.raw	20141028_liver_12281_B_06.raw
Sample 5	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	1	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141029_liver_12258_A_01.raw	20141029_liver_12258_A_01.raw
Sample 5	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	2	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141029_liver_12258_A_02.raw	20141029_liver_12258_A_02.raw
Sample 5	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 27	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	3	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141029_liver_12258_A_03.raw	20141029_liver_12258_A_03.raw
Sample 5	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 28	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	4	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141029_liver_12258_A_04.raw	20141029_liver_12258_A_04.raw
Sample 5	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 29	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	5	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141029_liver_12258_A_05.raw	20141029_liver_12258_A_05.raw
Sample 5	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 30	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	6	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141029_liver_12258_A_06.raw	20141029_liver_12258_A_06.raw
Sample 6	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 31	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	1	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141030_liver_12258_B_01.raw	20141030_liver_12258_B_01.raw
Sample 6	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 32	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	2	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141030_liver_12258_B_02.raw	20141030_liver_12258_B_02.raw
Sample 6	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 33	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	3	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141030_liver_12258_B_03.raw	20141030_liver_12258_B_03.raw
Sample 6	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 34	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	4	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141030_liver_12258_B_04.raw	20141030_liver_12258_B_04.raw
Sample 6	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 35	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	5	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141030_liver_12258_B_05.raw	20141030_liver_12258_B_05.raw
Sample 6	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 36	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	6	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141030_liver_12258_B_06.raw	20141030_liver_12258_B_06.raw
Sample 7	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 37	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	1	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141106_liver_12287_A_01.raw	20141106_liver_12287_A_01.raw
Sample 7	Homo sapiens	liver	not available	not available	not available	Hepatocellular carcinoma	not available	not available	not available	1	tissue	run 38	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC= MS:1002416;NT=Orbitrap Fusion	2	1	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	20 ppm	4.5 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/05/PXD006512/20141106_liver_12287_A_02.raw	20141106_liver_12287_A_02.raw
