source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[enritchment]	assay name	comment[plasmodium strain]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]
Sample 3	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 3	3D7	PXD015093	Ex2_MZ_IMAC_E2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E2.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 4	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 4	3D7	PXD015093	Ex2_MZ_IMAC_E2r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E2r.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 5	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 5	3D7	PXD015093	Ex2_MZ_IMAC_E3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E3.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 6	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 6	3D7	PXD015093	Ex2_MZ_IMAC_E3r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E3r.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 7	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 7	3D7	PXD015093	Ex2_MZ_IMAC_E4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E4.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 8	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 8	3D7	PXD015093	Ex2_MZ_IMAC_E4r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E4r.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 9	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 9	3D7	PXD015093	Ex2_MZ_IMAC_E5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E5.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 10	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 10	3D7	PXD015093	Ex2_MZ_IMAC_E5r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E5r.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 11	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 11	3D7	PXD015093	Ex2_MZ_IMAC_E6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E6.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 12	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 12	3D7	PXD015093	Ex2_MZ_IMAC_E6r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E6r.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 13	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 13	3D7	PXD015093	Ex2_MZ_IMAC_E7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E7.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 14	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 14	3D7	PXD015093	Ex2_MZ_IMAC_E7r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E7r.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 15	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 15	3D7	PXD015093	Ex2_MZ_IMAC_E8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E8.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 16	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 16	3D7	PXD015093	Ex2_MZ_IMAC_E8r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E8r.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 17	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 17	3D7	PXD015093	Ex2_MZ_IMAC_E9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E9.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
Sample 18	plasmodium falciparum	human erythrocytes	schizont	not applicable	1	IMAC	run 18	3D7	PXD015093	Ex2_MZ_IMAC_E9r.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/03/PXD015093/Ex2_MZ_IMAC_E9r.raw	1	1	label free sample	AC=MS:1003096;NT=LTQ Orbitrap Velos Pro	HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M,W,H;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Ammonia-loss;AC=UNIMOD:385;TA=Q,C;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Deamidated;AC=UNIMOD:7;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y,A;MT=Variable		20 ppm	0.02 Da
