source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[growth stage]	characteristics[growth condition]	characteristics[disease]	characteristics[organism part]	characteristics[organism]	characteristics[strain/breed]	characteristics[medium]	characteristics[medium supplements]	characteristics[optical density]	characteristics[growth phase]	assay name	technology type	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[technical replicate]	comment[tool metadata]	factor value[medium]	comment[sdrf version]	comment[sdrf template]
LS3	3	prokaryotic cell	Stationary	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	Not available	Stationary phase	LS3_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31938AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	LB medium	v1.1.0	NT=ms-proteomics;version=v1.1.0
GE3	3	prokaryotic cell	Exponential	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	0.6	Exponential phase	GE3_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31940AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	M9 medium + glucose	v1.1.0	NT=ms-proteomics;version=v1.1.0
GS3	3	prokaryotic cell	Stationary	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	Not available	Stationary phase	GS3_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31942AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	M9 medium + glucose	v1.1.0	NT=ms-proteomics;version=v1.1.0
AE3	3	prokaryotic cell	Exponential	M9 medium + acetate	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + acetate	Acetate	0.6	Exponential phase	AE3_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31944AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	M9 medium + acetate	v1.1.0	NT=ms-proteomics;version=v1.1.0
AS3	3	prokaryotic cell	Stationary	M9 medium + acetate	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + acetate	Acetate	Not available	Stationary phase	AS3_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31946AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	M9 medium + acetate	v1.1.0	NT=ms-proteomics;version=v1.1.0
LE4	4	prokaryotic cell	Exponential	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	0.6	Exponential phase	LE4_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31951AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	LB medium	v1.1.0	NT=ms-proteomics;version=v1.1.0
LS4	4	prokaryotic cell	Stationary	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	Not available	Stationary phase	LS4_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31953AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	LB medium	v1.1.0	NT=ms-proteomics;version=v1.1.0
GE4	4	prokaryotic cell	Exponential	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	0.6	Exponential phase	GE4_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31955AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	M9 medium + glucose	v1.1.0	NT=ms-proteomics;version=v1.1.0
GS4	4	prokaryotic cell	Stationary	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	Not available	Stationary phase	GS4_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31957AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	M9 medium + glucose	v1.1.0	NT=ms-proteomics;version=v1.1.0
AE4	4	prokaryotic cell	Exponential	M9 medium + acetate	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + acetate	Acetate	0.6	Exponential phase	AE4_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31959AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	M9 medium + acetate	v1.1.0	NT=ms-proteomics;version=v1.1.0
AS4	4	prokaryotic cell	Stationary	M9 medium + acetate	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + acetate	Acetate	Not available	Stationary phase	AS4_DDA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	QX31961AUH.raw	1	0.02Da	Q Exactive HF-X	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	10ppm	1	lesSDRF v0.1.0	M9 medium + acetate	v1.1.0	NT=ms-proteomics;version=v1.1.0
LE1	1	prokaryotic cell	Exponential	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	0.6	Exponential phase	LE1_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16925AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	LB medium	v1.1.0	NT=ms-proteomics;version=v1.1.0
LS1	1	prokaryotic cell	Stationary	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	Not available	Stationary phase	LS1_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16927AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	LB medium	v1.1.0	NT=ms-proteomics;version=v1.1.0
GE1	1	prokaryotic cell	Exponential	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	0.6	Exponential phase	GE1_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16929AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + glucose	v1.1.0	NT=ms-proteomics;version=v1.1.0
GS1	1	prokaryotic cell	Stationary	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	Not available	Stationary phase	GS1_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16931AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + glucose	v1.1.0	NT=ms-proteomics;version=v1.1.0
AE1	1	prokaryotic cell	Exponential	M9 medium + acetate	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + acetate	Acetate	0.6	Exponential phase	AE1_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16933AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + acetate	v1.1.0	NT=ms-proteomics;version=v1.1.0
AS1	1	prokaryotic cell	Stationary	M9 medium + acetate	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + acetate	Acetate	Not available	Stationary phase	AS1_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16935AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + acetate	v1.1.0	NT=ms-proteomics;version=v1.1.0
LE2	2	prokaryotic cell	Exponential	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	0.6	Exponential phase	LE2_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16939AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	LB medium	v1.1.0	NT=ms-proteomics;version=v1.1.0
LS2	2	prokaryotic cell	Stationary	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	Not available	Stationary phase	LS2_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16941AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	LB medium	v1.1.0	NT=ms-proteomics;version=v1.1.0
GE2	2	prokaryotic cell	Exponential	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	0.6	Exponential phase	GE2_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16943AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + glucose	v1.1.0	NT=ms-proteomics;version=v1.1.0
GS2	2	prokaryotic cell	Stationary	M9 medium + glucose	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + glucose	Glucose	Not available	Stationary phase	GS2_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16945AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + glucose	v1.1.0	NT=ms-proteomics;version=v1.1.0
AE2	2	prokaryotic cell	Exponential	M9 medium + acetate	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + acetate	Acetate	0.6	Exponential phase	AE2_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16947AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + acetate	v1.1.0	NT=ms-proteomics;version=v1.1.0
AS2	2	prokaryotic cell	Stationary	M9 medium + acetate	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	M9 medium + acetate	Acetate	Not available	Stationary phase	AS2_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16949AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	M9 medium + acetate	v1.1.0	NT=ms-proteomics;version=v1.1.0
LE3	3	prokaryotic cell	Exponential	LB medium	Not applicable	Not available	Escherichia coli	Escherichia coli str. K-12 substr. W3110	LB medium	Not applicable	0.6	Exponential phase	LE3_DIA	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=Trypsin; CS=(?⇐[KR])(?!P)	TP16953AUH.d	1	15ppm	timsTOF Pro 2	label free sample	NT=Oxidation;AC=35;CF=O;MM=15.994915;MT=Variable;PP=Anywhere;TA=['M']	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	15ppm	2	lesSDRF v0.1.0	LB medium	v1.1.0	NT=ms-proteomics;version=v1.1.0
