source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[file uri]	comment[sdrf version]	comment[sdrf template]
Sample 13	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 13	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-10.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-10.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 14	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 14	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-11.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-11.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 15	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 15	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-12.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-12.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 16	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 16	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-13.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-13.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 17	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 17	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-14.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-14.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 18	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 18	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-15.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-15.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 19	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 19	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-16.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-16.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 20	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 20	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-17.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-17.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 21	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 21	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-18.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-18.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 22	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 22	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-19.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-19.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 23	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 23	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-1re.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-1re.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 24	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 24	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-2.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-2.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 25	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 25	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-20.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-20.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 26	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 26	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-21.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-21.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 27	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 27	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-22.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-22.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 28	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 28	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-23.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-23.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 29	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 29	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-24.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-24.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 30	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 30	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-3.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-3.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 31	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 31	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-4.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-4.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 32	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 32	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-5.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-5.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 33	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 33	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-6.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-6.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 34	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 34	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-7.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-7.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
Sample 35	Escherichia coli	Cell lysate	Escherichia coli BW25993	Not applicable	Prokaryotic cell	Not available	1	Run 35	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	Map-3-8.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD022070/Map-3-8.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
