Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Material Type	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[modification parameters]	Factor Value[modification parameters]	Factor Value[modification parameters]	Factor Value[modification parameters]	Factor Value[modification parameters]
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	cell	run 11	proteomic profiling by mass spectrometer	b1931_293T_proteinID_11A_QE3_122212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1931_293T_proteinID_11A_QE3_122212.raw	11	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	cell	run 12	proteomic profiling by mass spectrometer	b1932_293T_proteinID_12A_QE3_122212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1932_293T_proteinID_12A_QE3_122212.raw	12	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	cell	run 13	proteomic profiling by mass spectrometer	b1937_293T_proteinID_01B_QE3_122212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1937_293T_proteinID_01B_QE3_122212.raw	13	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	cell	run 14	proteomic profiling by mass spectrometer	b1938_293T_proteinID_02B_QE3_122212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1938_293T_proteinID_02B_QE3_122212.raw	14	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	cell	run 15	proteomic profiling by mass spectrometer	b1939_293T_proteinID_03B_QE3_122212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1939_293T_proteinID_03B_QE3_122212.raw	15	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	cell	run 16	proteomic profiling by mass spectrometer	b1940_293T_proteinID_04B_QE3_122212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1940_293T_proteinID_04B_QE3_122212.raw	16	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	cell	run 17	proteomic profiling by mass spectrometer	b1941_293T_proteinID_05B_QE3_122212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1941_293T_proteinID_05B_QE3_122212.raw	17	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	cell	run 18	proteomic profiling by mass spectrometer	b1942_293T_proteinID_06B_QE3_122212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1942_293T_proteinID_06B_QE3_122212.raw	18	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	cell	run 19	proteomic profiling by mass spectrometer	b1943_293T_proteinID_07B_QE3_122212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1943_293T_proteinID_07B_QE3_122212.raw	19	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	cell	run 20	proteomic profiling by mass spectrometer	b1944_293T_proteinID_08B_QE3_122212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1944_293T_proteinID_08B_QE3_122212.raw	20	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	cell	run 21	proteomic profiling by mass spectrometer	b1945_293T_proteinID_09B_QE3_122212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1945_293T_proteinID_09B_QE3_122212.raw	21	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	cell	run 22	proteomic profiling by mass spectrometer	b1946_293T_proteinID_10B_QE3_122212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1946_293T_proteinID_10B_QE3_122212.raw	22	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	cell	run 23	proteomic profiling by mass spectrometer	b1947_293T_proteinID_11B_QE3_122212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1947_293T_proteinID_11B_QE3_122212.raw	23	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	cell	run 24	proteomic profiling by mass spectrometer	b1948_293T_proteinID_12B_QE3_122212.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1948_293T_proteinID_12B_QE3_122212.raw	24	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	"NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21"	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
