Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[enrichment process]	Characteristics[disease]	Characteristics[biological replicate]	Assay Name	Comment[technical replicate]	Comment[fraction identifier]	Comment[file uri]	Characteristics[developmental stage]	Comment[instrument]	Comment[label]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]	Material Type
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 13	1	12	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr12.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr12.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 14	1	13	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr13.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr13.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 15	1	14	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr14.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr14.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 16	1	15	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr15.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr15.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 17	1	16	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr16.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr16.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 18	1	17	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr17.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr17.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 19	1	18	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr18.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr18.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 20	1	19	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr19.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr19.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 21	1	20	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr20.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr20.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 22	1	21	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr21.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr21.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 23	1	22	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr22.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr22.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 24	1	23	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr23.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr23.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 25	1	24	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr24.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr24.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 26	1	25	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr25.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr25.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 27	1	26	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr26.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr26.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 28	1	27	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr27.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr27.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 29	1	28	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr28.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr28.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 30	1	29	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr29.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr29.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 31	1	30	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr30.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr30.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 32	1	31	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr31.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr31.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 33	1	32	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr32.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr32.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 34	1	33	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr33.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr33.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 35	1	34	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr34.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr34.raw	cell
