source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[sex]	characteristics[age]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[treatment]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[enrichment process]
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	TRAP-overexpressing	enrichment of phosphorylated Protein	1	cell	run 6	proteomic profiling by mass spectrometry	SILAC heavy	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr06.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr06.raw	1	6	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	control	enrichment of phosphorylated Protein	1	cell	run 6	proteomic profiling by mass spectrometry	SILAC light	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr06.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr06.raw	1	6	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	TRAP-overexpressing	enrichment of phosphorylated Protein	1	cell	run 7	proteomic profiling by mass spectrometry	SILAC heavy	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr07.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr07.raw	1	7	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	control	enrichment of phosphorylated Protein	1	cell	run 7	proteomic profiling by mass spectrometry	SILAC light	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr07.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr07.raw	1	7	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	TRAP-overexpressing	enrichment of phosphorylated Protein	1	cell	run 8	proteomic profiling by mass spectrometry	SILAC heavy	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr08.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr08.raw	1	8	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	control	enrichment of phosphorylated Protein	1	cell	run 8	proteomic profiling by mass spectrometry	SILAC light	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr08.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr08.raw	1	8	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	TRAP-overexpressing	enrichment of phosphorylated Protein	1	cell	run 9	proteomic profiling by mass spectrometry	SILAC heavy	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr09.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr09.raw	1	9	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	control	enrichment of phosphorylated Protein	1	cell	run 9	proteomic profiling by mass spectrometry	SILAC light	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr09.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr09.raw	1	9	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	TRAP-overexpressing	enrichment of phosphorylated Protein	1	cell	run 10	proteomic profiling by mass spectrometry	SILAC heavy	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr10.raw	1	10	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	control	enrichment of phosphorylated Protein	1	cell	run 10	proteomic profiling by mass spectrometry	SILAC light	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr10.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr10.raw	1	10	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	TRAP-overexpressing	enrichment of phosphorylated Protein	1	cell	run 11	proteomic profiling by mass spectrometry	SILAC heavy	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr11.raw	1	11	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	control	enrichment of phosphorylated Protein	1	cell	run 11	proteomic profiling by mass spectrometry	SILAC light	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr11.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr11.raw	1	11	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	TRAP-overexpressing	enrichment of phosphorylated Protein	1	cell	run 12	proteomic profiling by mass spectrometry	SILAC heavy	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr12.raw	1	12	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	control	enrichment of phosphorylated Protein	1	cell	run 12	proteomic profiling by mass spectrometry	SILAC light	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr12.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr12.raw	1	12	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	TRAP-overexpressing	enrichment of phosphorylated Protein	1	cell	run 13	proteomic profiling by mass spectrometry	SILAC heavy	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr13.raw	1	13	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	adult	breast cancer	female	51Y	Caucasian	epithelial	MDA-MB-231	control	enrichment of phosphorylated Protein	1	cell	run 13	proteomic profiling by mass spectrometry	SILAC light	ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr13.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_TRAP3high_SILACplate1_1mgIPG25-37_fr13.raw	1	13	AC=MS:1001251;NT=Trypsin	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Label:13C(6)15N(4);TA=R;AC=UNIMOD:267;MT=variable	NT=Label:13C(6)15N(2);TA=R;AC=UNIMOD:259;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	10 ppm	0.02 Da	enrichment of phosphorylated Protein
